SampleID	Gtseq_Chr28_Geno	Pop_Structure_ID	CV_Fall	CV_Late_Fall	CV_Spring	CV_Winter	Tributary	ButteFall	FRHfall	FRHsp	MillDeerFall	SanJoaquinFall	ButteSp	MillDeerSp	ColemanLF	SacWin
DEL25_6_A_5	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
DEL25_6_A_6																
DEL25_6_A_8	HETEROZYGOTE	FALL	0.99	0	0.01	0		0.584	0.39	0.014	0.007	0	0.006	0	0	0
DEL25_6_A_9	EARLY	SPRING	1	0	0	0	Feather River Spring	0.003	0.849	0.074	0	0.074	0	0	0	0
DEL25_6_B_1	EARLY	SPRING	0.98	0	0.02	0	Feather River Spring	0.019	0.946	0.006	0.009	0	0.02	0	0	0
DEL25_6_B_2	HETEROZYGOTE	FALL	1	0	0	0		0.796	0.126	0	0.025	0.053	0	0	0	0
DEL25_6_B_4																
DEL25_6_B_5	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
DEL25_6_X_1	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
DEL25_6_X_2	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
DEL25_6_X_3	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
DEL25_6_X_4	HETEROZYGOTE	FALL	1	0	0	0		0.017	0.938	0.001	0.036	0.007	0	0	0	0
DEL25_7_A_11	LATE	FALL	1	0	0	0		0.544	0.031	0	0	0.425	0	0	0	0
DEL25_7_A_17	HETEROZYGOTE	FALL	1	0	0	0		0.002	0.453	0	0.361	0.183	0	0	0	0
DEL25_7_A_20	HETEROZYGOTE	FALL	1	0	0	0		0.109	0.776	0.069	0.042	0.005	0	0	0	0
DEL25_7_A_4	HETEROZYGOTE	FALL	1	0	0	0		0.007	0.565	0.376	0.01	0.041	0	0.001	0	0
DEL25_7_A_5	HETEROZYGOTE	FALL	1	0	0	0		0.005	0.925	0.07	0	0	0	0	0	0
DEL25_7_A_6	HETEROZYGOTE	FALL	1	0	0	0		0.001	0.757	0.13	0.002	0.111	0	0	0	0
DEL25_7_A_9																
DEL25_7_B_3	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.49	0.51	0	0	0	0	0	0
DEL25_7_B_4	HETEROZYGOTE	FALL	0.83	0	0.17	0		0.142	0.385	0.009	0.117	0.177	0	0.169	0	0
DEL25_7_B_5	HETEROZYGOTE	FALL	1	0	0	0		0.465	0.079	0.001	0.44	0.015	0	0	0	0
DEL25_7_B_6	EARLY	SPRING	1	0	0	0	Feather River Spring	0.154	0.713	0.002	0.02	0.11	0	0	0.001	0
DEL25_7_B_7	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
DEL25_7_B_8	EARLY	SPRING	1	0	0	0	Feather River Spring	0.009	0.977	0.001	0.012	0.001	0	0	0	0
DEL25_7_B_9	EARLY	SPRING	0	0	1	0	ButteSp	0	0	0	0	0	1	0	0	0
DEL25_9_A_11	HETEROZYGOTE	FALL	1	0	0	0		0.026	0.718	0.001	0.008	0.247	0	0	0	0
DEL25_9_A_17	HETEROZYGOTE	FALL	1	0	0	0		0.009	0.668	0.099	0.223	0	0	0	0	0
DEL25_9_A_2																
